Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,0-10,0.41
2015,Wind,31-40,4.25
2015,Temperature,21-30,5.88
2015,Wind,Breeze,7.09
2015,Temperature,Calm,7.79
2015,Wind,Storm,10.1
2021,Temperature,0-10,11.13
2021,Wind,31-40,11.0
2021,Temperature,21-30,13.58
2021,Wind,Breeze,14.91
2021,Temperature,Calm,12.08
2021,Wind,Storm,16.17
2016,Temperature,0-10,15.08
2016,Wind,31-40,18.45
2016,Temperature,21-30,20.08
2016,Wind,Breeze,22.35
2016,Temperature,Calm,23.37
2016,Wind,Storm,25.73
