Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Humidity,High,2.02
2020,Temperature,Medium,3.58
2020,Wind,11-20,3.37
2020,Humidity,21-30,5.1
2020,Temperature,31-40,5.07
2020,Wind,Calm,7.53
2020,Humidity,Breeze,8.45
2020,Temperature,Storm,8.58
2020,Wind,High,10.31
2022,Humidity,High,11.46
2022,Temperature,Medium,11.69
2022,Wind,11-20,11.66
2022,Humidity,21-30,11.73
2022,Temperature,31-40,14.97
2022,Wind,Calm,20.16
2022,Humidity,Breeze,22.61
2022,Temperature,Storm,25.27
2022,Wind,High,25.84
