Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Humidity,Low,0.16
2020,Temperature,Medium,0.33
2020,Humidity,21-30,1.72
2020,Temperature,0-10,3.65
2020,Humidity,11-20,2.79
2020,Temperature,Low,7.25
2022,Humidity,Low,11.62
2022,Temperature,Medium,12.01
2022,Humidity,21-30,13.07
2022,Temperature,0-10,13.91
2022,Humidity,11-20,15.08
2022,Temperature,Low,16.06
2017,Humidity,Low,16.78
2017,Temperature,Medium,18.21
2017,Humidity,21-30,19.46
2017,Temperature,0-10,20.43
2017,Humidity,11-20,19.58
2017,Temperature,Low,17.56
