Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Humidity,Low,1.11
2017,Temperature,Medium,2.86
2017,Wind,21-30,2.19
2017,Humidity,0-10,2.59
2017,Temperature,11-20,5.72
2017,Wind,Calm,9.03
2017,Humidity,Storm,16.69
2017,Temperature,Breeze,16.59
2017,Wind,Low,18.47
2020,Humidity,Low,19.34
2020,Temperature,Medium,19.79
2020,Wind,21-30,21.63
2020,Humidity,0-10,21.05
2020,Temperature,11-20,17.08
2020,Wind,Calm,24.15
2020,Humidity,Storm,24.31
2020,Temperature,Breeze,26.37
2020,Wind,Low,22.38
