Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Wind,Storm,0.84
2022,Temperature,Calm,1.67
2022,Humidity,Breeze,26.57
2022,Wind,21-30,26.27
2022,Temperature,31-40,4.8
2022,Humidity,0-10,8.93
2022,Wind,Medium,9.67
2022,Temperature,High,11.3
2022,Humidity,Low,12.59
2016,Wind,Storm,12.79
2016,Temperature,Calm,13.99
2016,Humidity,Breeze,17.37
2016,Wind,21-30,17.95
2016,Temperature,31-40,17.81
2016,Humidity,0-10,18.95
2016,Wind,Medium,24.69
2016,Temperature,High,26.77
2016,Humidity,Low,27.06
