Quarter,Month,Culture_Concert,Culture_Hospital,Production_Museum,Production_School,Production_Workshop,Service_Factory,Service_Library,State,City
Minimum,,74.29,31.18,91.42,48.83,2.98,18.49,61.59,,
,  ,74.29,31.18,91.42,48.83,2.98,18.49,61.59,,
Q1,,74.29,31.18,91.42,48.83,2.98,18.49,61.59,,
,  February,84.49,34.09,95.40,53.56,6.07,21.61,66.26,Illinois,Minneapolis
,  January,74.29,31.18,91.42,48.83,2.98,18.49,61.59,Illinois,Springfield
,  October,87.32,39.94,98.86,59.47,12.32,23.93,71.69,Illinois,Hastings
Q4,,76.01,32.43,94.65,52.32,3.42,20.86,65.62,,
,  December,91.26,47.74,98.87,60.11,14.12,23.27,72.54,Minnesota,Minneapolis
,  March,76.01,32.43,94.65,52.32,3.42,20.86,65.62,Minnesota,Hastings
,  November,85.86,39.13,98.77,58.64,11.90,21.78,70.72,Minnesota,Springfield
