Polluted element,Type of pollution,California_Las Vegas_2018,California_Malibu_2018,California_Redmond_2018,Nevada_Boulder City_2015,Nevada_Los-Angeles_2015,Oregon_Portland_2021,Oregon_Reno_2021,Oregon_San Francisco_2021
Air,Inorganic Fertilizers,-5.48,-74.24,50.48,-59.20,79.41,22.88,-33.59,-99.29
,Noise,-19.51,-82.74,39.91,-65.64,70.19,14.20,-44.38,97.11
,Solid Waste,-9.67,-77.26,48.77,-63.26,72.98,18.30,-44.53,0.58
,Surface water,-19.63,-86.33,35.70,-68.82,67.83,6.37,-48.93,91.24
,Urban Activities,-24.35,-92.78,28.97,-71.20,59.30,6.16,-51.15,87.37
Soil,Industrial,-32.80,-98.15,22.99,-73.41,52.37,1.52,-56.47,80.82
,Inferior Irrigation,-22.18,-92.84,30.19,-74.88,62.55,8.55,-52.90,-8.85
,Light,-15.45,-81.61,43.49,-69.04,68.36,14.35,-44.28,97.79
,Oxygen-depletion,-18.83,-85.79,35.19,-67.78,68.11,12.04,-47.62,95.96
,Urban Activities,-8.15,-76.79,50.35,-61.90,74.03,17.09,-39.92,-0.63
Water,Industrial,-13.93,-82.96,43.69,-63.80,72.48,17.46,-42.66,98.14
,Inferior Irrigation,-6.57,-75.23,51.48,-60.28,74.11,21.64,-34.27,-0.16
,Inorganic Fertilizers,-20.10,-88.12,33.41,-69.16,64.25,8.33,-51.20,87.60
,Solid Waste,-24.87,-95.41,26.42,-72.42,54.74,6.68,-52.03,82.73
,Thermal,-20.41,-84.66,36.13,-66.32,69.10,13.55,-47.94,96.70
