Polluted element,Type of pollution,Michigan_Detroit,Michigan_Hastings,Minnesota_Boulder City,Minnesota_Minneapolis,Minnesota_Port Huron,Nevada_Flint,Nevada_Las Vegas,Nevada_Rochester
Soil,,49.30,19.50,26.92,13.62,24.50,-7.71,-26.13,-56.88
,  Groundwater,-44.17,-73.98,64.07,23.50,-30.57,-3.38,-53.05,-68.79
,  Inorganic Fertilizers,80.38,52.04,59.89,12.08,87.61,-19.38,68.26,-95.26
,  Solid Waste,77.22,45.54,-72.33,1.59,87.91,-5.16,-62.19,26.37
,  Surface water,83.75,54.41,56.07,17.33,-46.95,-2.91,-57.53,-89.85
Water,,18.78,-10.89,-4.64,-4.73,60.81,-11.89,70.63,4.73
,  Chemical,-42.97,57.11,-68.62,24.49,-28.05,-2.37,76.97,-87.79
,  Inferior Irrigation,80.09,-79.86,-69.11,-75.94,88.43,-20.53,67.02,32.85
,  Oxygen-depletion,-44.06,-73.23,63.60,18.95,92.54,-5.82,72.22,41.23
,  Urban Activities,82.07,52.41,55.58,13.58,90.31,-18.83,66.31,32.65
