Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2019,Georgia,Washington,Temperature,0-10,1.52
2019,Georgia,Washington,Wind,21-30,2.18
2019,Georgia,Washington,Humidity,11-20,1.28
2019,Georgia,Washington,Temperature,Storm,4.07
2019,Georgia,Washington,Wind,Breeze,5.41
2019,Georgia,Washington,Humidity,Calm,6.49
2019,Georgia,Washington,Temperature,Medium,7.52
2019,Georgia,Washington,Wind,Low,8.31
2019,Georgia,Washington,Humidity,0-10,9.13
2020,Minnesota,Albany,Temperature,0-10,10.68
2020,Minnesota,Albany,Wind,21-30,10.52
2020,Minnesota,Albany,Humidity,11-20,11.58
2020,Minnesota,Albany,Temperature,Storm,12.92
2020,Minnesota,Albany,Wind,Breeze,13.26
2020,Minnesota,Albany,Humidity,Calm,15.25
2020,Minnesota,Albany,Temperature,Medium,10.19
2020,Minnesota,Albany,Wind,Low,12.54
2020,Minnesota,Albany,Humidity,0-10,18.17
2019,Oregon,Columbus,Temperature,0-10,19.55
2019,Oregon,Columbus,Wind,21-30,20.2
2019,Oregon,Columbus,Humidity,11-20,21.39
2019,Oregon,Columbus,Temperature,Storm,21.05
2019,Oregon,Columbus,Wind,Breeze,23.06
2019,Oregon,Columbus,Humidity,Calm,23.4
2019,Oregon,Columbus,Temperature,Medium,17.58
2019,Oregon,Columbus,Wind,Low,5.35
2019,Oregon,Columbus,Humidity,0-10,27.62
2020,Georgia,Minneapolis,Temperature,0-10,24.04
2020,Georgia,Minneapolis,Wind,21-30,20.77
2020,Georgia,Minneapolis,Humidity,11-20,23.72
2020,Georgia,Minneapolis,Temperature,Storm,6.52
2020,Georgia,Minneapolis,Wind,Breeze,25.97
2020,Georgia,Minneapolis,Humidity,Calm,6.74
2020,Georgia,Minneapolis,Temperature,Medium,27.1
2020,Georgia,Minneapolis,Wind,Low,5.26
2020,Georgia,Minneapolis,Humidity,0-10,7.16
2019,Minnesota,Hastings,Temperature,0-10,3.36
2019,Minnesota,Hastings,Wind,21-30,4.85
2019,Minnesota,Hastings,Humidity,11-20,11.11
2019,Minnesota,Hastings,Temperature,Storm,11.37
2019,Minnesota,Hastings,Wind,Breeze,12.03
2019,Minnesota,Hastings,Humidity,Calm,13.47
2019,Minnesota,Hastings,Temperature,Medium,13.82
2019,Minnesota,Hastings,Wind,Low,1.33
2019,Minnesota,Hastings,Humidity,0-10,14.06
2020,Oregon,Rochester,Temperature,0-10,15.96
2020,Oregon,Rochester,Wind,21-30,15.35
2020,Oregon,Rochester,Humidity,11-20,16.38
2020,Oregon,Rochester,Temperature,Storm,16.16
2020,Oregon,Rochester,Wind,Breeze,4.45
2020,Oregon,Rochester,Humidity,Calm,17.64
2020,Oregon,Rochester,Temperature,Medium,1.22
2020,Oregon,Rochester,Wind,Low,4.79
2020,Oregon,Rochester,Humidity,0-10,17.29
2019,Georgia,Portland,Temperature,0-10,5.63
2019,Georgia,Portland,Wind,21-30,18.76
2019,Georgia,Portland,Humidity,11-20,17.75
2019,Georgia,Portland,Temperature,Storm,19.56
2019,Georgia,Portland,Wind,Breeze,3.41
2019,Georgia,Portland,Humidity,Calm,7.11
2019,Georgia,Portland,Temperature,Medium,20.09
2019,Georgia,Portland,Wind,Low,24.44
2019,Georgia,Portland,Humidity,0-10,20.66
2020,Minnesota,Salem,Temperature,0-10,24.59
2020,Minnesota,Salem,Wind,21-30,7.55
2020,Minnesota,Salem,Humidity,11-20,21.13
2020,Minnesota,Salem,Temperature,Storm,21.0
2020,Minnesota,Salem,Wind,Breeze,22.65
2020,Minnesota,Salem,Humidity,Calm,22.64
2020,Minnesota,Salem,Temperature,Medium,23.57
2020,Minnesota,Salem,Wind,Low,1.24
2020,Minnesota,Salem,Humidity,0-10,24.96
