Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Florida,Tampa,Humidity,Low,0.62
2021,Florida,Tampa,Temperature,High,1.94
2021,Florida,Tampa,Humidity,Medium,2.74
2021,Florida,Tampa,Temperature,0-10,1.25
2021,Florida,Tampa,Humidity,31-40,3.41
2021,Florida,Tampa,Temperature,Low,5.58
2018,California,Fort Lauderdale,Humidity,Low,6.03
2018,California,Fort Lauderdale,Temperature,High,7.74
2018,California,Fort Lauderdale,Humidity,Medium,8.74
2018,California,Fort Lauderdale,Temperature,0-10,9.98
2018,California,Fort Lauderdale,Humidity,31-40,8.04
2018,California,Fort Lauderdale,Temperature,Low,5.78
2021,Minnesota,Berkeley,Humidity,Low,12.35
2021,Minnesota,Berkeley,Temperature,High,12.22
2021,Minnesota,Berkeley,Humidity,Medium,5.0
2021,Minnesota,Berkeley,Temperature,0-10,13.48
2021,Minnesota,Berkeley,Humidity,31-40,16.44
2021,Minnesota,Berkeley,Temperature,Low,17.97
2018,Florida,Malibu,Humidity,Low,18.97
2018,Florida,Malibu,Temperature,High,17.63
2018,Florida,Malibu,Humidity,Medium,16.28
2018,Florida,Malibu,Temperature,0-10,16.78
2018,Florida,Malibu,Humidity,31-40,22.62
2018,Florida,Malibu,Temperature,Low,20.14
2021,California,Los-Angeles,Humidity,Low,23.11
2021,California,Los-Angeles,Temperature,High,25.5
2021,California,Los-Angeles,Humidity,Medium,26.32
2021,California,Los-Angeles,Temperature,0-10,26.81
2021,California,Los-Angeles,Humidity,31-40,21.94
2021,California,Los-Angeles,Temperature,Low,23.13
2018,Minnesota,Minneapolis,Humidity,Low,24.59
2018,Minnesota,Minneapolis,Temperature,High,6.67
2018,Minnesota,Minneapolis,Humidity,Medium,7.35
2018,Minnesota,Minneapolis,Temperature,0-10,11.9
2018,Minnesota,Minneapolis,Humidity,31-40,16.82
2018,Minnesota,Minneapolis,Temperature,Low,16.06
2021,Florida,Hastings,Humidity,Low,16.76
2021,Florida,Hastings,Temperature,High,4.44
2021,Florida,Hastings,Humidity,Medium,1.64
2021,Florida,Hastings,Temperature,0-10,18.42
2021,Florida,Hastings,Humidity,31-40,7.44
2021,Florida,Hastings,Temperature,Low,20.2
