Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Concert,Q1,February,0.58
Culture,Concert,Q3,March,2.83
Culture,Concert,Q1,January,3.27
Culture,Concert,Q3,August,4.42
Culture,Concert,Q1,September,11.38
Culture,Concert,Q3,February,19.06
Production,Museum,Q1,February,19.39
Production,Museum,Q3,March,24.97
Production,Museum,Q1,January,31.27
Production,Museum,Q3,August,38.5
Production,Museum,Q1,September,42.49
Production,Museum,Q3,February,45.5
Culture,Theatre,Q1,February,46.21
Culture,Theatre,Q3,March,48.64
Culture,Theatre,Q1,January,55.17
Culture,Theatre,Q3,August,55.16
Culture,Theatre,Q1,September,58.84
Culture,Theatre,Q3,February,65.13
Production,Workshop,Q1,February,66.01
Production,Workshop,Q3,March,69.29
Production,Workshop,Q1,January,72.93
Production,Workshop,Q3,August,73.26
Production,Workshop,Q1,September,75.01
Production,Workshop,Q3,February,78.0
Culture,Factory,Q1,February,78.49
Culture,Factory,Q3,March,88.96
Culture,Factory,Q1,January,88.75
Culture,Factory,Q3,August,90.69
Culture,Factory,Q1,September,94.02
Culture,Factory,Q3,February,96.02
