Quarter,Month,Culture_House,Culture_School,Residential_Hotel,Residential_Library,Residential_Museum,Service_Administration,Service_Apartment,Service_Theatre,Minimum,State,City
Q1,,24.20,67.41,2.67,41.35,81.26,54.27,14.36,90.21,2.67,,
,  December,27.94,68.78,5.07,44.57,85.73,57.61,16.77,90.21,5.07,Michigan,Port Huron
,  March,24.20,67.41,2.67,41.35,81.26,54.27,14.36,93.46,2.67,Michigan,Port Huron
,  September,30.66,75.51,11.86,51.90,90.86,56.61,21.54,99.34,11.86,Michigan,Port Huron
Q3,,23.38,69.51,4.58,43.66,84.76,54.75,16.03,95.85,4.58,,
,  February,37.43,78.26,13.73,53.58,92.74,64.95,23.00,96.01,13.73,Michigan,Port Huron
,  July,23.38,74.82,9.76,47.78,88.23,59.77,19.76,98.39,9.76,Michigan,Port Huron
,  November,26.96,69.51,4.58,43.66,84.76,54.75,16.03,95.85,4.58,Michigan,Port Huron
Q4,,24.84,68.48,3.33,41.84,81.23,54.95,14.21,90.69,3.33,,
,  February,25.00,68.48,3.47,41.84,81.23,55.80,14.21,90.69,3.47,Michigan,Port Huron
,  March,32.11,75.14,11.90,52.24,91.98,62.93,22.82,99.08,11.90,Michigan,Port Huron
,  October,24.84,71.37,3.33,47.71,86.21,54.95,15.66,92.88,3.33,Michigan,Port Huron
Minimum,,23.38,67.41,2.67,41.35,81.23,54.27,14.21,90.21,2.67,,
,  ,23.38,67.41,2.67,41.35,81.23,54.27,14.21,90.21,2.67,,
