Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2022,Q2,Fire,Slight,99.67
Female,2022,Q2,Drowning,Slight,73.48
Female,2022,Q2,Traffic,Slight,12.91
Female,2015,Q1,Fire,Slight,12.43
Female,2015,Q1,Drowning,Slight,14.72
Female,2015,Q1,Traffic,Slight,13.29
Female,2021,Q2,Fire,Slight,49.31
Female,2021,Q2,Drowning,Slight,18.73
Female,2021,Q2,Traffic,Slight,19.7
Female,2022,Q1,Fire,Slight,21.89
Female,2022,Q1,Drowning,Slight,85.7
Female,2022,Q1,Traffic,Slight,54.97
Female,2015,Q2,Fire,Slight,54.52
Female,2015,Q2,Drowning,Slight,25.31
Female,2015,Q2,Traffic,Slight,54.48
Female,2021,Q1,Fire,Slight,59.99
Female,2021,Q1,Drowning,Slight,22.25
Female,2021,Q1,Traffic,Slight,25.56
