Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2016,Q3,Dairy,Yoghurt,642.19
Import,2016,Q3,Beverage,Milk,387.52
Import,2016,Q3,Meat,Cheese,136.72
Import,2016,Q3,Dairy,Juice,268.13
Import,2016,Q3,Beverage,Tea,20.28
Import,2016,Q3,Meat,Lamb,538.38
Import,2016,Q3,Dairy,Camel,667.89
Import,2016,Q3,Beverage,Yoghurt,28.79
Import,2016,Q3,Meat,Milk,414.97
Import,2021,Q3,Dairy,Yoghurt,31.78
Import,2021,Q3,Beverage,Milk,418.87
Import,2021,Q3,Meat,Cheese,35.46
Import,2021,Q3,Dairy,Juice,421.01
Import,2021,Q3,Beverage,Tea,807.7
Import,2021,Q3,Meat,Lamb,44.23
Import,2021,Q3,Dairy,Camel,942.87
Import,2021,Q3,Beverage,Yoghurt,307.54
Import,2021,Q3,Meat,Milk,563.26
Import,2020,Q3,Dairy,Yoghurt,956.65
Import,2020,Q3,Beverage,Milk,61.75
Import,2020,Q3,Meat,Cheese,828.07
Import,2020,Q3,Dairy,Juice,447.58
Import,2020,Q3,Beverage,Tea,189.05
Import,2020,Q3,Meat,Lamb,833.02
Import,2020,Q3,Dairy,Camel,67.03
Import,2020,Q3,Beverage,Yoghurt,454.16
Import,2020,Q3,Meat,Milk,839.18
Import,2016,Q3,Dairy,Yoghurt,79.1
Import,2016,Q3,Beverage,Milk,976.14
Import,2016,Q3,Meat,Cheese,721.68
Import,2016,Q3,Dairy,Juice,210.51
Import,2016,Q3,Beverage,Tea,90.93
Import,2016,Q3,Meat,Lamb,92.26
Import,2016,Q3,Dairy,Camel,604.57
Import,2016,Q3,Beverage,Yoghurt,350.13
Import,2016,Q3,Meat,Milk,751.45
Import,2021,Q3,Dairy,Yoghurt,752.38
Import,2021,Q3,Beverage,Milk,495.6
Import,2021,Q3,Meat,Cheese,371.31
Import,2021,Q3,Dairy,Juice,379.17
Import,2021,Q3,Beverage,Tea,245.92
Import,2021,Q3,Meat,Lamb,377.44
Import,2021,Q3,Dairy,Camel,123.97
Import,2021,Q3,Beverage,Yoghurt,764.22
Import,2021,Q3,Meat,Milk,767.41
