Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q3,September,1.54
Production,Workshop,Q1,July,2.53
Production,Workshop,Q2,March,2.33
Production,Workshop,Q3,January,7.42
Production,Workshop,Q1,April,17.55
Production,Workshop,Q2,June,17.81
Residential,Factory,Q3,September,21.93
Residential,Factory,Q1,July,22.46
Residential,Factory,Q2,March,26.92
Residential,Factory,Q3,January,33.46
Residential,Factory,Q1,April,35.35
Residential,Factory,Q2,June,42.2
Production,Apartment,Q3,September,43.62
Production,Apartment,Q1,July,49.05
Production,Apartment,Q2,March,50.74
Production,Apartment,Q3,January,54.97
Production,Apartment,Q1,April,55.46
Production,Apartment,Q2,June,56.79
Residential,Hotel,Q3,September,58.65
Residential,Hotel,Q1,July,64.76
Residential,Hotel,Q2,March,65.49
Residential,Hotel,Q3,January,68.54
Residential,Hotel,Q1,April,69.54
Residential,Hotel,Q2,June,77.09
Production,House,Q3,September,77.98
Production,House,Q1,July,81.68
Production,House,Q2,March,84.2
Production,House,Q3,January,84.72
Production,House,Q1,April,91.43
Production,House,Q2,June,96.48
