Quarter,Month,Culture_Concert,Culture_Factory,Culture_Hospital,Production_Library,Production_Museum,Production_Workshop,Service_Administration,Service_Theatre
Q1,,2.95,45.87,80.34,90.26,24.57,59.78,68.31,34.35
,  January,8.90,52.36,80.34,91.91,28.21,62.59,72.17,36.70
,  July,13.24,56.71,87.21,90.26,31.64,65.77,74.90,41.28
,  September,2.95,45.87,80.36,90.90,24.57,59.78,68.31,34.35
Q2,,6.84,49.71,80.55,91.79,26.34,58.76,63.74,33.48
,  April,10.15,54.86,83.83,92.97,29.29,63.66,74.87,33.48
,  February,6.84,49.71,80.55,91.79,26.34,58.76,63.74,34.74
,  September,15.28,57.74,88.09,96.74,27.76,66.89,78.95,41.13
Q3,,1.84,43.10,78.06,86.09,16.24,57.24,65.55,31.14
,  July,1.84,43.10,78.30,86.09,16.24,57.90,65.55,31.14
,  June,13.73,55.32,86.57,91.02,30.65,59.34,75.23,40.97
,  March,7.02,49.31,78.06,92.06,26.41,57.24,71.28,34.56
