Quarter,Month,State,City,Culture_Apartment,Culture_Library,Culture_Museum,Residential_Hotel,Residential_Theatre,Service_Concert,Service_Hospital,Minimum
Q2,April,Florida,Albany,95.38,54.33,7.27,78.18,38.02,21.36,61.38,7.27
,July,Georgia,Washington,99.52,58.55,10.14,83.48,39.23,26.30,71.91,10.14
,October,Georgia,Tampa,91.91,46.36,2.99,75.46,28.88,16.94,61.90,2.99
Q3,December,Florida,Fort Lauderdale,93.84,49.35,3.57,75.06,31.53,16.72,63.12,3.57
,May,Georgia,Tampa,97.20,56.34,8.55,79.82,39.42,24.72,66.26,8.55
,September,Georgia,Washington,89.12,45.46,0.86,73.19,26.31,12.00,56.49,0.86
Q4,July,Florida,Albany,89.54,46.18,0.50,74.20,27.74,15.52,61.07,0.50
,November,Georgia,Washington,95.19,49.64,6.91,76.65,32.25,17.67,63.10,6.91
,September,Florida,Fort Lauderdale,96.41,57.12,8.12,83.27,38.07,24.41,67.44,8.12
Minimum,,,,89.12,45.46,0.50,73.19,26.31,12.00,56.49,0.50
