Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2015,Q3,Dairy,Milk,768.04
Import,2015,Q3,Cereals,Cheese,385.53
Import,2015,Q3,Meat,Yoghurt,387.98
Import,2015,Q3,Dairy,Oats,510.39
Import,2015,Q3,Cereals,Rice,271.59
Import,2015,Q3,Meat,Duck,911.8
Import,2015,Q3,Dairy,Camel,657.63
Import,2015,Q3,Cereals,Milk,402.04
Import,2015,Q3,Meat,Cheese,916.45
Import,2022,Q3,Dairy,Milk,159.64
Import,2022,Q3,Cereals,Cheese,802.41
Import,2022,Q3,Meat,Yoghurt,675.31
Import,2022,Q3,Dairy,Oats,946.2
Import,2022,Q3,Cereals,Rice,310.08
Import,2022,Q3,Meat,Duck,56.59
Import,2022,Q3,Dairy,Camel,699.32
Import,2022,Q3,Cereals,Milk,67.37
Import,2022,Q3,Meat,Cheese,452.68
Import,2015,Q3,Dairy,Milk,70.39
Import,2015,Q3,Cereals,Cheese,966.35
Import,2015,Q3,Meat,Yoghurt,712.85
Import,2015,Q3,Dairy,Oats,842.73
Import,2015,Q3,Cereals,Rice,847.69
Import,2015,Q3,Meat,Duck,848.69
Import,2015,Q3,Dairy,Camel,591.14
Import,2015,Q3,Cereals,Milk,472.36
Import,2015,Q3,Meat,Cheese,737.45
Import,2022,Q3,Dairy,Milk,609.83
Import,2022,Q3,Cereals,Cheese,229.01
Import,2022,Q3,Meat,Yoghurt,230.62
Import,2022,Q3,Dairy,Oats,233.19
Import,2022,Q3,Cereals,Rice,234.83
Import,2022,Q3,Meat,Duck,365.64
Import,2022,Q3,Dairy,Camel,500.38
Import,2022,Q3,Cereals,Milk,509.63
Import,2022,Q3,Meat,Cheese,510.84
