Quarter,Month,Culture_Factory,Culture_Hotel,Production_Concert,Production_Workshop,Residential_House,Residential_Museum,State,City
Q1,,63.12,23.29,35.83,74.78,3.95,51.95,,
,  April,72.55,30.57,50.37,98.47,18.29,58.01,Maryland,Columbia
,  February,72.25,29.84,43.15,94.95,9.55,51.95,Maryland,Columbia
,  November,63.12,23.29,35.83,74.78,3.95,52.27,Maryland,Columbia
Q2,,59.03,18.85,33.04,76.43,1.81,51.64,,
,  June,59.03,18.85,33.04,76.43,1.81,51.64,Maryland,Columbia
,  March,73.50,30.69,44.86,96.94,10.04,57.33,Maryland,Columbia
,  October,67.25,24.71,38.80,80.13,4.68,54.37,Maryland,Columbia
Q4,,61.70,20.18,34.06,71.88,2.47,52.14,,
,  April,61.70,20.18,34.06,71.88,2.47,52.14,Maryland,Columbia
,  December,71.46,25.71,42.54,90.62,8.07,53.21,Maryland,Columbia
,  June,74.49,30.33,44.23,98.76,16.81,58.58,Maryland,Columbia
Minimum,,59.03,18.85,33.04,71.88,1.81,51.64,,
,  ,59.03,18.85,33.04,71.88,1.81,51.64,,
