Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Wind,Calm,2.32
2019,Humidity,Storm,4.19
2019,Temperature,High,5.37
2019,Wind,Medium,8.17
2019,Humidity,Low,8.19
2019,Temperature,11-20,11.67
2019,Wind,0-10,12.77
2019,Humidity,Calm,12.85
2019,Temperature,Storm,12.06
2017,Wind,Calm,15.89
2017,Humidity,Storm,14.75
2017,Temperature,High,17.55
2017,Wind,Medium,18.37
2017,Humidity,Low,18.09
2017,Temperature,11-20,16.75
2017,Wind,0-10,22.18
2017,Humidity,Calm,23.58
2017,Temperature,Storm,26.71
