State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Massachusetts,Lenox,Soil,Industrial,1.96
Massachusetts,Lenox,Air,Inorganic Fertilizers,8.08
Massachusetts,Lenox,Soil,Urban Activities,11.01
Massachusetts,Lenox,Air,Solid Waste,15.1
Massachusetts,Lenox,Soil,Inferior Irrigation,15.3
Massachusetts,Lenox,Air,Noise,42.8
Massachusetts,Lenox,Soil,Thermal,-81.19
Massachusetts,Lenox,Air,Light,-77.93
Massachusetts,Lenox,Soil,Industrial,-77.72
Massachusetts,Lenox,Air,Inorganic Fertilizers,-75.44
Michigan,Cambridge,Soil,Industrial,-77.14
Michigan,Cambridge,Air,Inorganic Fertilizers,-72.79
Michigan,Cambridge,Soil,Urban Activities,-71.39
Michigan,Cambridge,Air,Solid Waste,56.0
Michigan,Cambridge,Soil,Inferior Irrigation,59.42
Michigan,Cambridge,Air,Noise,-64.34
Michigan,Cambridge,Soil,Thermal,-57.25
Michigan,Cambridge,Air,Light,75.09
Michigan,Cambridge,Soil,Industrial,75.18
Michigan,Cambridge,Air,Inorganic Fertilizers,-48.16
Massachusetts,Flint,Soil,Industrial,80.78
Massachusetts,Flint,Air,Inorganic Fertilizers,81.77
Massachusetts,Flint,Soil,Urban Activities,-9.92
Massachusetts,Flint,Air,Solid Waste,85.14
Massachusetts,Flint,Soil,Inferior Irrigation,86.7
Massachusetts,Flint,Air,Noise,-39.58
Massachusetts,Flint,Soil,Thermal,-38.07
Massachusetts,Flint,Air,Light,93.09
Massachusetts,Flint,Soil,Industrial,-32.7
Massachusetts,Flint,Air,Inorganic Fertilizers,97.18
Michigan,Port Huron,Soil,Industrial,-30.3
Michigan,Port Huron,Air,Inorganic Fertilizers,-24.37
Michigan,Port Huron,Soil,Urban Activities,-22.84
Michigan,Port Huron,Air,Solid Waste,-21.09
Michigan,Port Huron,Soil,Inferior Irrigation,-20.76
Michigan,Port Huron,Air,Noise,-17.83
Michigan,Port Huron,Soil,Thermal,-16.83
Michigan,Port Huron,Air,Light,-9.09
Michigan,Port Huron,Soil,Industrial,-6.18
Michigan,Port Huron,Air,Inorganic Fertilizers,-4.65
