Polluted element,Type of pollution,California_Cambridge_2022,California_Portland_2015,California_San Francisco_2017,Massachusetts_Berkeley_2015,Massachusetts_Boston_2017,Massachusetts_Salem_2016,Oregon_Lenox_2016,Oregon_Malibu_2022,Oregon_Redmond_2017
Soil,Groundwater,27.54,-46.19,-97.15,67.37,13.41,-57.02,48.41,-81.18,-10.30
,Industrial,21.80,-51.65,78.66,54.91,0.27,-64.41,32.49,-89.07,-33.80
,Inorganic Fertilizers,28.66,-40.79,-95.08,71.84,14.75,-55.56,51.26,-66.59,-3.72
,Solid Waste,24.61,-46.09,99.45,64.57,8.34,-64.22,43.32,-83.98,-14.96
,Urban Activities,24.52,-48.88,94.26,55.53,4.09,-62.41,37.42,-86.55,-23.77
Water,Chemical,27.30,-45.31,-98.71,63.18,9.97,-59.00,44.83,-83.54,-12.29
,Industrial,28.02,-44.01,-97.74,70.30,13.50,-56.37,48.12,-78.72,-7.50
,Inferior Irrigation,25.82,-48.92,94.78,63.78,7.07,-61.04,39.92,-84.90,-14.29
,Inorganic Fertilizers,22.66,-50.07,80.49,55.18,2.74,-66.48,34.89,-87.11,-26.16
,Urban Activities,29.67,-38.94,-90.69,73.63,17.54,-52.37,53.07,-66.16,-2.55
