Quarter,Month,State,City,Culture_Concert,Culture_Factory,Culture_Library,Production_Hospital,Production_Theatre,Service_School,Service_Workshop
Q2,April,Maryland,Aberdeen,1.05,36.28,85.20,51.75,10.80,70.36,22.60
,July,Maryland,Aberdeen,10.46,41.58,95.18,63.89,22.26,81.57,35.73
,October,Maryland,Aberdeen,3.47,42.03,93.91,59.36,20.26,75.63,32.29
Q3,June,Maryland,Aberdeen,12.95,41.49,99.71,69.15,25.61,84.99,36.60
,November,Maryland,Aberdeen,3.55,41.72,91.49,58.45,18.78,74.00,28.19
,September,Maryland,Aberdeen,9.91,44.28,96.68,61.68,22.62,76.69,33.77
Q4,April,Maryland,Aberdeen,9.78,44.88,99.35,67.53,24.30,83.29,35.05
,December,Maryland,Aberdeen,2.64,42.54,95.32,60.80,20.15,76.82,32.06
,June,Maryland,Aberdeen,2.45,40.37,88.75,57.84,15.14,71.35,23.17
Minimum,,,,1.05,36.28,85.20,51.75,10.80,70.36,22.60
