Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,21-30,2.72
2015,Humidity,11-20,2.28
2015,Wind,Medium,4.63
2015,Temperature,High,2.18
2015,Humidity,Low,5.05
2015,Wind,Storm,7.48
2015,Temperature,Calm,26.85
2015,Humidity,Breeze,9.32
2015,Wind,21-30,6.38
2016,Temperature,21-30,11.31
2016,Humidity,11-20,13.12
2016,Wind,Medium,13.34
2016,Temperature,High,18.03
2016,Humidity,Low,19.99
2016,Wind,Storm,21.98
2016,Temperature,Calm,25.67
2016,Humidity,Breeze,26.16
2016,Wind,21-30,25.11
