Polluted element,Type of pollution,California_Columbus,California_Los-Angeles,Georgia_Albany,Georgia_Berkeley,Georgia_Lenox,Massachusetts_Boston,Massachusetts_Washington
Air,,73.92,-44.71,13.71,-19.43,0.90,-71.77,44.08
,  Industrial,70.58,-45.31,15.23,-18.14,-2.36,-71.31,43.07
,  Oxygen-depletion,78.16,-37.83,17.45,-17.61,-92.55,-65.89,48.25
,  Thermal,73.03,-50.98,8.44,-22.55,97.62,-78.12,40.92
Soil,,72.55,-48.39,11.70,-21.83,-2.26,-78.05,42.22
,  Inorganic Fertilizers,67.86,-45.99,11.87,-21.30,-6.46,-74.12,41.62
,  Noise,77.39,-42.66,15.76,-20.11,-93.03,-67.77,44.13
,  Urban Activities,72.39,-56.52,7.47,-24.09,92.71,-92.25,40.90
Water,,76.78,-41.57,16.87,-17.36,1.42,-72.04,45.31
,  Light,74.66,-44.72,13.46,-21.86,97.32,-77.13,43.14
,  Solid Waste,75.79,-43.73,15.38,-16.04,-1.98,-75.20,43.17
,  Surface water,79.90,-36.26,21.77,-14.20,-91.06,-63.79,49.61
Average,,74.42,-44.89,14.09,-19.54,0.02,-73.95,43.87
,  ,74.42,-44.89,14.09,-19.54,0.02,-73.95,43.87
