Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q1,March,0.6
Production,Factory,Q3,February,1.89
Production,Factory,Q4,July,9.8
Production,Factory,Q1,September,10.02
Production,Factory,Q3,October,11.93
Production,Factory,Q4,November,12.94
Production,Factory,Q1,December,14.18
Production,Factory,Q3,March,14.49
Production,Factory,Q4,February,16.16
Culture,Workshop,Q1,March,16.78
Culture,Workshop,Q3,February,17.32
Culture,Workshop,Q4,July,19.52
Culture,Workshop,Q1,September,20.29
Culture,Workshop,Q3,October,21.31
Culture,Workshop,Q4,November,16.03
Culture,Workshop,Q1,December,14.7
Culture,Workshop,Q3,March,19.36
Culture,Workshop,Q4,February,25.23
Residential,Concert,Q1,March,26.47
Residential,Concert,Q3,February,27.76
Residential,Concert,Q4,July,28.05
Residential,Concert,Q1,September,31.78
Residential,Concert,Q3,October,32.6
Residential,Concert,Q4,November,34.87
Residential,Concert,Q1,December,34.54
Residential,Concert,Q3,March,36.02
Residential,Concert,Q4,February,37.21
Production,Theatre,Q1,March,34.67
Production,Theatre,Q3,February,40.68
Production,Theatre,Q4,July,40.47
Production,Theatre,Q1,September,42.2
Production,Theatre,Q3,October,43.78
Production,Theatre,Q4,November,44.84
Production,Theatre,Q1,December,43.06
Production,Theatre,Q3,March,50.75
Production,Theatre,Q4,February,51.52
Culture,Museum,Q1,March,52.33
Culture,Museum,Q3,February,57.56
Culture,Museum,Q4,July,58.46
Culture,Museum,Q1,September,59.88
Culture,Museum,Q3,October,63.93
Culture,Museum,Q4,November,65.26
Culture,Museum,Q1,December,65.16
Culture,Museum,Q3,March,65.1
Culture,Museum,Q4,February,69.46
Residential,House,Q1,March,70.79
Residential,House,Q3,February,71.72
Residential,House,Q4,July,73.78
Residential,House,Q1,September,73.17
Residential,House,Q3,October,75.43
Residential,House,Q4,November,76.08
Residential,House,Q1,December,77.07
Residential,House,Q3,March,77.87
Residential,House,Q4,February,82.01
Production,Apartment,Q1,March,82.99
Production,Apartment,Q3,February,82.91
Production,Apartment,Q4,July,85.97
Production,Apartment,Q1,September,82.04
Production,Apartment,Q3,October,88.92
Production,Apartment,Q4,November,89.38
Production,Apartment,Q1,December,91.09
Production,Apartment,Q3,March,94.22
Production,Apartment,Q4,February,97.35
