Polluted element,Type of pollution,Maryland_Columbia_2020,Maryland_Detroit_2021,Michigan_Baltimore_2018,Michigan_Port Huron_2022
Air,Groundwater,1.48,-57.41,-82.00,-26.56
,Inferior Irrigation,9.86,91.19,54.67,-14.17
,Light,3.31,82.34,-76.54,-22.95
,Surface water,-91.71,94.51,65.69,-8.35
Soil,Chemical,26.05,-36.18,55.55,-13.08
,Oxygen-depletion,-91.95,-30.95,68.86,-1.03
,Surface water,3.33,-53.86,-82.52,-27.32
,Thermal,9.42,-8.24,52.84,-18.62
Water,Chemical,1.84,-59.50,44.54,-27.40
,Groundwater,27.71,-34.44,59.34,-9.62
,Industrial,10.85,-39.88,54.75,-17.95
,Oxygen-depletion,4.71,76.60,51.78,-23.92
