Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Wind,Calm,0.33
2020,Humidity,Breeze,0.68
2020,Temperature,Medium,2.65
2020,Wind,High,3.12
2020,Humidity,Low,3.74
2020,Temperature,21-30,5.06
2020,Wind,0-10,5.18
2020,Humidity,Calm,7.36
2020,Temperature,Breeze,8.1
2018,Wind,Calm,9.85
2018,Humidity,Breeze,8.49
2018,Temperature,Medium,7.63
2018,Wind,High,12.53
2018,Humidity,Low,13.82
2018,Temperature,21-30,13.34
2018,Wind,0-10,12.98
2018,Humidity,Calm,16.24
2018,Temperature,Breeze,16.76
2016,Wind,Calm,16.54
2016,Humidity,Breeze,18.96
2016,Temperature,Medium,20.59
2016,Wind,High,20.01
2016,Humidity,Low,20.27
2016,Temperature,21-30,23.88
2016,Wind,0-10,20.29
2016,Humidity,Calm,20.67
2016,Temperature,Breeze,26.23
