Quarter,Month,Culture_Library,Culture_Museum,Culture_School,Service_Concert,Service_Hospital,State,City
Q1,,89.07,3.49,43.29,20.13,64.31,,
,  August,89.07,3.49,43.29,20.13,64.31,Oregon,Cambridge
,  March,91.72,9.40,52.09,31.62,70.78,Massachusetts,Boston
,  September,92.96,13.63,56.14,39.63,86.90,Oregon,Salem
Q2,,90.43,4.65,38.45,20.02,64.87,,
,  August,90.43,16.53,57.78,40.12,87.19,Massachusetts,Boston
,  July,90.98,4.65,38.45,20.02,64.87,Massachusetts,Redmond
,  May,91.75,12.85,54.80,38.80,73.46,Oregon,Cambridge
Q3,,88.70,1.22,39.71,17.98,62.38,,
,  April,93.19,13.98,56.68,39.14,78.67,Massachusetts,Redmond
,  January,89.87,8.49,51.77,24.87,65.88,Oregon,Salem
,  September,88.70,1.22,39.71,17.98,62.38,Massachusetts,Boston
Minimum,,88.70,1.22,38.45,17.98,62.38,,
,  ,88.70,1.22,38.45,17.98,62.38,,
