Polluted element,Type of pollution,Florida_Boston_2022,Florida_Tampa_2018,Massachusetts_Cambridge_2018,Massachusetts_Fort Lauderdale_2019,Massachusetts_Salem_2021,Oregon_Lenox_2021,Oregon_Portland_2022,Average
Air,Groundwater,33.58,-94.83,8.08,88.51,-32.14,61.19,-65.95,-0.22
,Light,35.20,-88.13,12.19,90.19,-25.79,67.39,-57.20,4.84
,Oxygen-depletion,38.98,-87.52,12.83,93.59,-25.18,66.00,-58.50,5.74
,Solid Waste,37.82,-81.74,19.34,93.93,-16.55,71.21,-53.28,10.10
Soil,Chemical,37.87,-91.26,11.30,91.39,-26.33,65.92,-62.27,3.80
,Inorganic Fertilizers,43.14,-80.04,24.52,98.64,-14.21,76.11,-48.15,14.29
,Thermal,38.26,-86.32,14.84,42.59,-20.59,71.85,-55.31,0.76
,Urban Activities,37.56,-82.39,12.61,95.32,-21.12,66.26,-56.85,7.34
Water,Industrial,42.30,-81.72,22.90,97.60,-15.85,73.95,-52.35,12.40
,Inferior Irrigation,39.54,-84.02,13.38,94.13,-23.22,66.46,-58.77,6.79
,Noise,37.95,-87.39,13.64,42.69,-24.24,69.97,-56.27,-0.52
,Surface water,33.12,-93.88,10.24,90.17,-29.95,62.43,-63.55,1.23
Average,,37.94,-86.60,14.66,84.90,-22.93,68.23,-57.37,5.55
