Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2020,Meat,Chicken,954.77
Import,2020,Dairy,Lamb,131.91
Import,2020,Meat,Camel,483.32
Import,2020,Dairy,Milk,708.73
Import,2020,Meat,Cheese,776.29
Import,2020,Dairy,Chicken,137.54
Import,2016,Meat,Chicken,720.6
Import,2016,Dairy,Lamb,721.26
Import,2016,Meat,Camel,306.33
Import,2016,Dairy,Milk,787.12
Import,2016,Meat,Cheese,852.29
Import,2016,Dairy,Chicken,277.01
Import,2020,Meat,Chicken,566.56
Import,2020,Dairy,Lamb,403.26
Import,2020,Meat,Camel,725.41
Import,2020,Dairy,Milk,25.16
Import,2020,Meat,Cheese,538.91
Import,2020,Dairy,Chicken,30.83
