Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2016,Meat,Chicken,992.78
Export,2016,Cereals,Lamb,384.18
Export,2016,Meat,Beef,832.72
Export,2016,Cereals,Oats,195.53
Export,2016,Meat,Rice,643.14
Export,2016,Cereals,Chicken,549.44
Export,2015,Meat,Chicken,326.97
Export,2015,Cereals,Lamb,741.96
Export,2015,Meat,Beef,488.47
Export,2015,Cereals,Oats,137.7
Export,2015,Meat,Rice,106.32
Export,2015,Cereals,Chicken,955.7
Export,2016,Meat,Chicken,396.49
Export,2016,Cereals,Lamb,822.7
Export,2016,Meat,Beef,343.18
Export,2016,Cereals,Oats,250.59
Export,2016,Meat,Rice,571.43
Export,2016,Cereals,Chicken,703.35
