Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2016,Q3,Traffic,Serious,64.45
Female,2016,Q3,Fire,Serious,68.17
Female,2016,Q3,Drowning,Serious,68.04
Female,2020,Q3,Traffic,Serious,72.55
Female,2020,Q3,Fire,Serious,78.46
Female,2020,Q3,Drowning,Serious,15.6
Female,2016,Q3,Traffic,Serious,48.81
Female,2016,Q3,Fire,Serious,79.47
Female,2016,Q3,Drowning,Serious,85.15
Female,2020,Q3,Traffic,Serious,30.3
Female,2020,Q3,Fire,Serious,28.84
Female,2020,Q3,Drowning,Serious,62.62
