Polluted element,Type of pollution,Florida_Chicago_2022,Florida_Fort Lauderdale_2022,Illinois_Springfield_2015,Illinois_Tampa_2015
Air,,7.16,-18.32,-5.39,-37.47
,  Inorganic Fertilizers,7.73,17.72,36.95,-78.71
,  Noise,-59.91,24.38,-28.64,-85.42
,  Oxygen-depletion,73.64,-97.06,-24.49,51.72
Soil,,-37.75,1.33,37.18,-62.91
,  Inferior Irrigation,6.66,-48.39,37.27,-17.77
,  Surface water,-58.42,29.73,-24.32,-81.41
,  Thermal,-61.50,22.64,98.58,-89.54
Water,,-11.35,26.18,-2.03,7.24
,  Chemical,77.88,32.67,-21.00,53.85
,  Groundwater,-58.33,28.42,-25.75,45.13
,  Light,-53.59,17.44,40.65,-77.26
Average,,-13.98,3.06,9.92,-31.05
,  ,-13.98,3.06,9.92,-31.05
