Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Concert,Q2,April,Maryland,Aberdeen,1.05
Culture,Concert,Q4,June,Maryland,Aberdeen,2.45
Culture,Concert,Q3,November,Maryland,Aberdeen,3.55
Culture,Concert,Q2,October,Maryland,Aberdeen,3.47
Culture,Concert,Q4,December,Maryland,Aberdeen,2.64
Culture,Concert,Q3,September,Maryland,Aberdeen,9.91
Culture,Concert,Q2,July,Maryland,Aberdeen,10.46
Culture,Concert,Q4,April,Maryland,Aberdeen,9.78
Culture,Concert,Q3,June,Maryland,Aberdeen,12.95
Production,Theatre,Q2,April,Maryland,Aberdeen,10.8
Production,Theatre,Q4,June,Maryland,Aberdeen,15.14
Production,Theatre,Q3,November,Maryland,Aberdeen,18.78
Production,Theatre,Q2,October,Maryland,Aberdeen,20.26
Production,Theatre,Q4,December,Maryland,Aberdeen,20.15
Production,Theatre,Q3,September,Maryland,Aberdeen,22.62
Production,Theatre,Q2,July,Maryland,Aberdeen,22.26
Production,Theatre,Q4,April,Maryland,Aberdeen,24.3
Production,Theatre,Q3,June,Maryland,Aberdeen,25.61
Service,Workshop,Q2,April,Maryland,Aberdeen,22.6
Service,Workshop,Q4,June,Maryland,Aberdeen,23.17
Service,Workshop,Q3,November,Maryland,Aberdeen,28.19
Service,Workshop,Q2,October,Maryland,Aberdeen,32.29
Service,Workshop,Q4,December,Maryland,Aberdeen,32.06
Service,Workshop,Q3,September,Maryland,Aberdeen,33.77
Service,Workshop,Q2,July,Maryland,Aberdeen,35.73
Service,Workshop,Q4,April,Maryland,Aberdeen,35.05
Service,Workshop,Q3,June,Maryland,Aberdeen,36.6
Culture,Factory,Q2,April,Maryland,Aberdeen,36.28
Culture,Factory,Q4,June,Maryland,Aberdeen,40.37
Culture,Factory,Q3,November,Maryland,Aberdeen,41.72
Culture,Factory,Q2,October,Maryland,Aberdeen,42.03
Culture,Factory,Q4,December,Maryland,Aberdeen,42.54
Culture,Factory,Q3,September,Maryland,Aberdeen,44.28
Culture,Factory,Q2,July,Maryland,Aberdeen,41.58
Culture,Factory,Q4,April,Maryland,Aberdeen,44.88
Culture,Factory,Q3,June,Maryland,Aberdeen,41.49
Production,Hospital,Q2,April,Maryland,Aberdeen,51.75
Production,Hospital,Q4,June,Maryland,Aberdeen,57.84
Production,Hospital,Q3,November,Maryland,Aberdeen,58.45
Production,Hospital,Q2,October,Maryland,Aberdeen,59.36
Production,Hospital,Q4,December,Maryland,Aberdeen,60.8
Production,Hospital,Q3,September,Maryland,Aberdeen,61.68
Production,Hospital,Q2,July,Maryland,Aberdeen,63.89
Production,Hospital,Q4,April,Maryland,Aberdeen,67.53
Production,Hospital,Q3,June,Maryland,Aberdeen,69.15
Service,School,Q2,April,Maryland,Aberdeen,70.36
Service,School,Q4,June,Maryland,Aberdeen,71.35
Service,School,Q3,November,Maryland,Aberdeen,74.0
Service,School,Q2,October,Maryland,Aberdeen,75.63
Service,School,Q4,December,Maryland,Aberdeen,76.82
Service,School,Q3,September,Maryland,Aberdeen,76.69
Service,School,Q2,July,Maryland,Aberdeen,81.57
Service,School,Q4,April,Maryland,Aberdeen,83.29
Service,School,Q3,June,Maryland,Aberdeen,84.99
Culture,Library,Q2,April,Maryland,Aberdeen,85.2
Culture,Library,Q4,June,Maryland,Aberdeen,88.75
Culture,Library,Q3,November,Maryland,Aberdeen,91.49
Culture,Library,Q2,October,Maryland,Aberdeen,93.91
Culture,Library,Q4,December,Maryland,Aberdeen,95.32
Culture,Library,Q3,September,Maryland,Aberdeen,96.68
Culture,Library,Q2,July,Maryland,Aberdeen,95.18
Culture,Library,Q4,April,Maryland,Aberdeen,99.35
Culture,Library,Q3,June,Maryland,Aberdeen,99.71
