Characteristic,Intensity,2016_California_Las Vegas,2016_Nevada_Berkeley,2017_Nevada_San Francisco,2020_California_Los-Angeles,2020_Nevada_Reno
Maximum,,16.03,23.13,26.38,25.84,8.50
,  ,16.03,23.13,26.38,25.84,8.50
Humidity,,11.33,15.89,22.89,25.84,6.07
,  0-10,11.33,15.89,21.51,24.85,2.85
,  Breeze,11.28,5.05,22.89,7.66,6.07
,  Low,9.87,10.49,18.99,25.84,0.88
Temperature,,16.03,21.31,25.64,22.18,2.69
,  High,6.48,12.30,19.36,5.33,1.81
,  Low,16.03,21.31,25.64,8.44,2.69
,  Storm,13.79,17.22,22.45,22.18,1.86
Wind,,14.57,23.13,26.38,25.02,8.50
,  31-40,11.47,14.75,11.80,22.63,2.26
,  Calm,14.57,17.03,23.99,25.02,5.90
,  High,12.39,23.13,26.38,8.35,8.50
