Polluted element,Type of pollution,Maryland_Columbia_2021,Maryland_Redmond_2017,Oregon_Aberdeen_2015,Oregon_Portland_2015,Oregon_Salem_2019
Air,,-14.07,11.29,-17.95,-9.51,66.85
,  Chemical,77.52,35.45,-36.73,8.04,59.66
,  Oxygen-depletion,-41.55,-79.42,-2.52,-93.64,74.30
,  Solid Waste,-45.24,46.31,-12.22,26.28,67.96
,  Surface water,-47.01,42.81,-20.34,21.26,65.49
Soil,,45.97,-55.16,11.64,-14.73,-2.49
,  Inferior Irrigation,-51.97,-80.42,-2.16,-97.95,70.69
,  Noise,81.90,41.39,-16.14,21.14,66.73
,  Oxygen-depletion,79.21,-88.73,-25.75,14.73,-69.09
,  Solid Waste,74.73,-92.89,90.62,3.14,-78.29
Water,,48.33,11.28,-18.82,-12.45,-0.84
,  Chemical,80.38,49.87,-3.51,-97.21,-57.74
,  Groundwater,80.98,41.57,-20.48,19.97,-69.27
,  Inferior Irrigation,77.23,-91.80,-37.89,4.95,56.28
,  Thermal,-45.28,45.49,-13.38,22.47,67.38
