Polluted element,Type of pollution,Illinois_Chicago,Illinois_Minneapolis,Minnesota_Hastings,Minnesota_Springfield,Average
Air,,4.33,-6.37,-4.68,14.66,1.98
,  Chemical,91.32,-78.93,2.08,67.46,20.48
,  Light,-30.92,57.44,26.09,-51.45,0.29
,  Surface water,-19.33,64.51,-82.70,-41.49,-19.75
,  Urban Activities,-23.76,-68.51,35.82,84.11,6.91
Soil,,8.75,-3.76,-0.06,-47.17,-10.56
,  Chemical,-5.46,-61.28,48.86,-41.18,-14.76
,  Groundwater,-33.65,54.85,11.52,-55.71,-5.75
,  Industrial,-22.89,-67.24,36.93,-43.31,-24.13
,  Noise,97.02,58.62,-97.54,-48.49,2.40
Water,,65.93,-8.06,-42.14,45.64,15.34
,  Inferior Irrigation,-21.01,63.04,-92.66,85.24,8.65
,  Oxygen-depletion,97.14,54.22,16.54,-52.10,28.95
,  Surface water,89.76,-78.62,2.56,67.74,20.36
,  Thermal,97.84,-70.88,-95.00,81.68,3.41
