Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Temperature,11-20,1.26
2016,Humidity,31-40,6.85
2016,Wind,21-30,6.67
2016,Temperature,High,7.22
2016,Humidity,Low,24.74
2016,Wind,Medium,11.72
2016,Temperature,Calm,13.77
2016,Humidity,Breeze,14.96
2016,Wind,11-20,17.47
2019,Temperature,11-20,18.71
2019,Humidity,31-40,19.26
2019,Wind,21-30,20.26
2019,Temperature,High,21.89
2019,Humidity,Low,24.63
2019,Wind,Medium,24.91
2019,Temperature,Calm,26.14
2019,Humidity,Breeze,27.15
2019,Wind,11-20,25.31
