Quarter,Month,Culture_House,Culture_Museum,Production_Factory,Production_Hotel,Residential_Concert,Residential_Workshop,Minimum,State,City
Q1,,40.95,89.17,12.33,53.45,69.39,22.88,12.33,,
,  January,46.49,93.77,16.16,55.35,77.47,31.97,16.16,California,San Francisco
,  June,49.08,97.82,20.33,59.74,82.70,37.38,20.33,Florida,San Francisco
,  November,40.95,89.17,12.33,53.45,69.39,22.88,12.33,Florida,San Francisco
Q2,,35.30,85.60,2.63,51.98,60.79,22.80,2.63,,
,  February,46.61,94.05,17.92,54.63,78.70,35.16,17.92,Florida,Fort Lauderdale
,  June,35.30,85.60,2.63,51.98,60.79,22.80,2.63,Florida,Fort Lauderdale
,  October,42.80,90.21,13.47,54.42,70.98,23.05,13.47,California,Fort Lauderdale
Q4,,39.86,87.65,8.01,52.01,65.55,23.50,8.01,,
,  April,39.86,87.65,8.01,52.01,65.55,23.50,8.01,California,Tampa
,  December,44.13,91.60,14.95,55.85,73.75,29.63,14.95,Florida,Tampa
,  March,49.89,96.65,17.03,53.17,82.80,36.77,17.03,California,Tampa
Minimum,,35.30,85.60,2.63,51.98,60.79,22.80,2.63,,
,  ,35.30,85.60,2.63,51.98,60.79,22.80,2.63,,
