Characteristic,Intensity,2017_Illinois_Lenox,2017_Maryland_Cambridge,2017_Massachusetts_Baltimore,2017_Massachusetts_Champaign,2019_Illinois_Aberdeen,2019_Maryland_Chicago,2019_Maryland_Columbia,2019_Massachusetts_Boston
Humidity,11-20,12.02,24.29,7.57,3.31,19.28,18.38,2.23,27.42
,31-40,4.28,6.42,13.01,25.78,26.61,20.02,7.05,12.41
,Storm,2.79,6.34,13.60,23.09,23.40,19.19,5.71,10.39
Temperature,31-40,12.85,23.32,9.84,22.69,15.28,5.29,0.75,7.82
,Breeze,13.39,4.77,8.33,23.93,21.19,6.95,3.17,2.36
,Low,16.81,5.49,10.55,23.35,24.08,19.15,6.49,10.41
Wind,0-10,12.32,26.44,10.73,2.41,19.33,18.32,1.62,1.59
,Calm,27.55,22.75,13.96,23.39,19.69,19.42,4.72,0.28
,High,16.43,26.85,7.14,24.89,25.56,6.03,7.27,11.72
Maximum,,27.55,26.85,13.96,25.78,26.61,20.02,7.27,27.42
