Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2019,Q2,Beverage,Soda,257.48
Export,2019,Q2,Cereals,Coffee,17.38
Export,2019,Q2,Meat,Rice,913.89
Export,2019,Q2,Beverage,Seeds,406.89
Export,2019,Q2,Cereals,Wheat,919.39
Export,2019,Q2,Meat,Camel,926.27
Export,2019,Q2,Beverage,Duck,415.39
Export,2019,Q2,Cereals,Beef,929.15
Export,2019,Q2,Meat,Soda,930.28
Export,2018,Q2,Beverage,Soda,802.33
Export,2018,Q2,Cereals,Coffee,676.42
Export,2018,Q2,Meat,Rice,549.31
Export,2018,Q2,Beverage,Seeds,420.9
Export,2018,Q2,Cereals,Wheat,42.59
Export,2018,Q2,Meat,Camel,684.81
Export,2018,Q2,Beverage,Duck,813.17
Export,2018,Q2,Cereals,Beef,560.46
Export,2018,Q2,Meat,Soda,562.71
Export,2020,Q2,Beverage,Soda,440.68
Export,2020,Q2,Cereals,Coffee,696.93
Export,2020,Q2,Meat,Rice,697.14
Export,2020,Q2,Beverage,Seeds,827.01
Export,2020,Q2,Cereals,Wheat,958.26
Export,2020,Q2,Meat,Camel,703.28
Export,2020,Q2,Beverage,Duck,833.11
Export,2020,Q2,Cereals,Beef,455.36
Export,2020,Q2,Meat,Soda,841.17
Export,2019,Q2,Beverage,Soda,847.93
Export,2019,Q2,Cereals,Coffee,214.3
Export,2019,Q2,Meat,Rice,862.07
Export,2019,Q2,Beverage,Seeds,483.58
Export,2019,Q2,Cereals,Wheat,612.08
Export,2019,Q2,Meat,Camel,869.55
Export,2019,Q2,Beverage,Duck,614.47
Export,2019,Q2,Cereals,Beef,359.38
Export,2019,Q2,Meat,Soda,875.36
Export,2018,Q2,Beverage,Soda,492.39
Export,2018,Q2,Cereals,Coffee,112.03
Export,2018,Q2,Meat,Rice,625.7
Export,2018,Q2,Beverage,Seeds,371.13
Export,2018,Q2,Cereals,Wheat,373.44
Export,2018,Q2,Meat,Camel,249.57
Export,2018,Q2,Beverage,Duck,252.75
Export,2018,Q2,Cereals,Beef,894.12
Export,2018,Q2,Meat,Soda,639.69
