Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q3,August,0.75
Service,Library,Q2,July,0.54
Service,Library,Q3,September,6.67
Service,Library,Q2,June,10.93
Service,Library,Q3,May,10.5
Service,Library,Q2,August,12.55
Residential,Hospital,Q3,August,14.35
Residential,Hospital,Q2,July,24.94
Residential,Hospital,Q3,September,25.59
Residential,Hospital,Q2,June,27.56
Residential,Hospital,Q3,May,36.25
Residential,Hospital,Q2,August,37.03
Service,Apartment,Q3,August,43.5
Service,Apartment,Q2,July,45.39
Service,Apartment,Q3,September,51.75
Service,Apartment,Q2,June,51.26
Service,Apartment,Q3,May,52.22
Service,Apartment,Q2,August,56.28
Residential,Hotel,Q3,August,59.17
Residential,Hotel,Q2,July,60.74
Residential,Hotel,Q3,September,63.28
Residential,Hotel,Q2,June,75.65
Residential,Hotel,Q3,May,77.93
Residential,Hotel,Q2,August,79.64
Service,House,Q3,August,81.43
Service,House,Q2,July,83.4
Service,House,Q3,September,89.13
Service,House,Q2,June,90.95
Service,House,Q3,May,96.05
Service,House,Q2,August,99.4
