Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2017,Q1,Traffic,Serious,34.88
Female,2017,Q1,Drowning,Slight,67.28
Female,2017,Q1,Fire,Fatal,36.32
Female,2016,Q1,Traffic,Serious,88.35
Female,2016,Q1,Drowning,Slight,41.89
Female,2016,Q1,Fire,Fatal,11.0
Female,2018,Q1,Traffic,Serious,43.7
Female,2018,Q1,Drowning,Slight,45.6
Female,2018,Q1,Fire,Fatal,92.26
Female,2017,Q1,Traffic,Serious,81.21
Female,2017,Q1,Drowning,Slight,83.4
Female,2017,Q1,Fire,Fatal,88.05
Female,2016,Q1,Traffic,Serious,25.81
Female,2016,Q1,Drowning,Slight,27.01
Female,2016,Q1,Fire,Fatal,28.28
