Characteristic,Intensity,2018_California_Berkeley,2018_California_Cambridge,2020_Massachusetts_Lenox,2020_Massachusetts_San Francisco
Humidity,,22.68,16.90,5.67,26.69
,  11-20,9.53,14.20,5.67,22.71
,  Breeze,14.77,16.90,5.60,26.69
,  High,22.68,4.28,2.86,20.24
Temperature,,25.79,14.67,9.95,26.45
,  0-10,14.45,14.67,6.04,21.73
,  Medium,25.79,12.88,3.68,21.61
,  Storm,15.78,14.53,9.95,26.45
Wind,,27.15,19.32,10.92,24.00
,  31-40,14.30,14.51,7.09,24.00
,  Calm,21.48,19.32,10.92,20.84
,  Low,27.15,12.34,3.08,22.38
