Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Theatre,Q4,November,Illinois,Champaign,0.34
Culture,Theatre,Q3,December,Illinois,Champaign,1.18
Culture,Theatre,Q4,October,Illinois,Champaign,3.97
Culture,Theatre,Q3,August,Illinois,Champaign,10.53
Culture,Theatre,Q4,July,Illinois,Champaign,12.1
Culture,Theatre,Q3,September,Illinois,Champaign,13.98
Residential,Museum,Q4,November,Illinois,Champaign,12.39
Residential,Museum,Q3,December,Illinois,Champaign,15.14
Residential,Museum,Q4,October,Illinois,Champaign,26.55
Residential,Museum,Q3,August,Illinois,Champaign,27.31
Residential,Museum,Q4,July,Illinois,Champaign,29.92
Residential,Museum,Q3,September,Illinois,Champaign,33.04
Culture,House,Q4,November,Illinois,Champaign,38.7
Culture,House,Q3,December,Illinois,Champaign,41.35
Culture,House,Q4,October,Illinois,Champaign,60.36
Culture,House,Q3,August,Illinois,Champaign,66.49
Culture,House,Q4,July,Illinois,Champaign,66.91
Culture,House,Q3,September,Illinois,Champaign,73.88
Residential,Apartment,Q4,November,Illinois,Champaign,74.61
Residential,Apartment,Q3,December,Illinois,Champaign,76.57
Residential,Apartment,Q4,October,Illinois,Champaign,76.44
Residential,Apartment,Q3,August,Illinois,Champaign,82.95
Residential,Apartment,Q4,July,Illinois,Champaign,83.51
Residential,Apartment,Q3,September,Illinois,Champaign,87.96
Culture,Hotel,Q4,November,Illinois,Champaign,89.33
Culture,Hotel,Q3,December,Illinois,Champaign,90.37
Culture,Hotel,Q4,October,Illinois,Champaign,94.62
Culture,Hotel,Q3,August,Illinois,Champaign,95.37
Culture,Hotel,Q4,July,Illinois,Champaign,97.84
Culture,Hotel,Q3,September,Illinois,Champaign,99.22
