Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2021,Dairy,Butter,257.43
Export,2021,Cereals,Cheese,709.94
Export,2021,Dairy,Cream,934.07
Export,2021,Cereals,Seeds,934.99
Export,2021,Dairy,Oats,744.64
Export,2021,Cereals,Wheat,73.48
Export,2020,Dairy,Butter,780.44
Export,2020,Cereals,Cheese,271.05
Export,2020,Dairy,Cream,945.65
Export,2020,Cereals,Seeds,946.83
Export,2020,Dairy,Oats,241.06
Export,2020,Cereals,Wheat,785.99
Export,2021,Dairy,Butter,277.16
Export,2021,Cereals,Cheese,885.39
Export,2021,Dairy,Cream,313.88
Export,2021,Cereals,Seeds,410.9
Export,2021,Dairy,Oats,988.14
Export,2021,Cereals,Wheat,573.04
