State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Illinois,Chicago,Water,Chemical,7.61
Illinois,Chicago,Air,Surface water,8.31
Illinois,Chicago,Soil,Groundwater,-75.02
Illinois,Chicago,Water,Oxygen-depletion,8.28
Illinois,Chicago,Air,Thermal,12.31
Illinois,Chicago,Soil,Noise,12.27
Illinois,Chicago,Water,Light,18.24
Illinois,Chicago,Air,Inorganic Fertilizers,24.62
Illinois,Chicago,Soil,Solid Waste,26.3
Illinois,Chicago,Water,Industrial,30.48
Illinois,Chicago,Air,Urban Activities,30.99
Illinois,Chicago,Soil,Inferior Irrigation,-96.25
Illinois,Chicago,Water,Chemical,-95.01
Illinois,Chicago,Air,Surface water,-94.82
Illinois,Chicago,Soil,Groundwater,-93.68
Oregon,Champaign,Water,Chemical,-92.19
Oregon,Champaign,Air,Surface water,-92.33
Oregon,Champaign,Soil,Groundwater,-95.44
Oregon,Champaign,Water,Oxygen-depletion,39.82
Oregon,Champaign,Air,Thermal,-87.57
Oregon,Champaign,Soil,Noise,42.79
Oregon,Champaign,Water,Light,-85.58
Oregon,Champaign,Air,Inorganic Fertilizers,44.42
Oregon,Champaign,Soil,Solid Waste,-85.64
Oregon,Champaign,Water,Industrial,44.58
Oregon,Champaign,Air,Urban Activities,-81.07
Oregon,Champaign,Soil,Inferior Irrigation,-82.47
Oregon,Champaign,Water,Chemical,-79.54
Oregon,Champaign,Air,Surface water,-85.27
Oregon,Champaign,Soil,Groundwater,52.64
Illinois,Springfield,Water,Chemical,-75.21
Illinois,Springfield,Air,Surface water,-74.12
Illinois,Springfield,Soil,Groundwater,-73.57
Illinois,Springfield,Water,Oxygen-depletion,-75.33
Illinois,Springfield,Air,Thermal,57.12
Illinois,Springfield,Soil,Noise,57.86
Illinois,Springfield,Water,Light,-70.28
Illinois,Springfield,Air,Inorganic Fertilizers,56.98
Illinois,Springfield,Soil,Solid Waste,-67.35
Illinois,Springfield,Water,Industrial,62.69
Illinois,Springfield,Air,Urban Activities,55.94
Illinois,Springfield,Soil,Inferior Irrigation,59.82
Illinois,Springfield,Water,Chemical,-63.48
Illinois,Springfield,Air,Surface water,66.05
Illinois,Springfield,Soil,Groundwater,-62.39
Oregon,Portland,Water,Chemical,-61.45
Oregon,Portland,Air,Surface water,-66.53
Oregon,Portland,Soil,Groundwater,64.36
Oregon,Portland,Water,Oxygen-depletion,-57.58
Oregon,Portland,Air,Thermal,72.35
Oregon,Portland,Soil,Noise,-56.11
Oregon,Portland,Water,Light,72.1
Oregon,Portland,Air,Inorganic Fertilizers,-62.79
Oregon,Portland,Soil,Solid Waste,76.29
Oregon,Portland,Water,Industrial,76.13
Oregon,Portland,Air,Urban Activities,-51.21
Oregon,Portland,Soil,Inferior Irrigation,-49.22
Oregon,Portland,Water,Chemical,77.95
Oregon,Portland,Air,Surface water,-52.15
Oregon,Portland,Soil,Groundwater,92.29
Illinois,Salem,Water,Chemical,-7.57
Illinois,Salem,Air,Surface water,-31.63
Illinois,Salem,Soil,Groundwater,70.99
Illinois,Salem,Water,Oxygen-depletion,99.88
Illinois,Salem,Air,Thermal,71.79
Illinois,Salem,Soil,Noise,-22.03
Illinois,Salem,Water,Light,-4.32
Illinois,Salem,Air,Inorganic Fertilizers,-16.42
Illinois,Salem,Soil,Solid Waste,-16.48
Illinois,Salem,Water,Industrial,-13.71
Illinois,Salem,Air,Urban Activities,-11.54
Illinois,Salem,Soil,Inferior Irrigation,-7.81
Illinois,Salem,Water,Chemical,-5.66
Illinois,Salem,Air,Surface water,-4.53
Illinois,Salem,Soil,Groundwater,-2.76
