Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q1,January,0.4
Residential,House,Q3,February,4.87
Residential,House,Q1,September,8.22
Residential,House,Q3,July,8.05
Culture,Apartment,Q1,January,23.09
Culture,Apartment,Q3,February,25.05
Culture,Apartment,Q1,September,30.79
Culture,Apartment,Q3,July,31.05
Residential,Hotel,Q1,January,33.73
Residential,Hotel,Q3,February,35.66
Residential,Hotel,Q1,September,36.64
Residential,Hotel,Q3,July,40.96
Culture,Concert,Q1,January,43.09
Culture,Concert,Q3,February,44.8
Culture,Concert,Q1,September,43.99
Culture,Concert,Q3,July,51.71
Residential,Theatre,Q1,January,58.29
Residential,Theatre,Q3,February,68.67
Residential,Theatre,Q1,September,69.3
Residential,Theatre,Q3,July,70.43
Culture,Museum,Q1,January,72.29
Culture,Museum,Q3,February,73.89
Culture,Museum,Q1,September,80.6
Culture,Museum,Q3,July,94.81
