Quarter,Month,State,City,Culture_Library,Culture_Museum,Production_Theatre,Production_Workshop,Service_Concert,Service_Factory,Service_Hospital,Minimum
Q2,June,Massachusetts,Boston,21.20,55.50,35.06,40.93,46.19,80.08,0.38,0.38
,November,Massachusetts,Boston,32.15,67.09,43.11,79.21,52.05,92.78,15.43,15.43
,September,Massachusetts,Cambridge,24.83,59.23,40.21,77.28,49.69,86.71,6.46,6.46
Q3,April,Massachusetts,Cambridge,21.37,49.37,36.22,75.15,47.17,79.20,1.61,1.61
,July,Massachusetts,Boston,27.30,61.52,40.10,76.84,46.22,43.52,11.46,11.46
,June,Massachusetts,Cambridge,33.32,67.69,43.78,80.99,51.11,96.05,15.62,15.62
Q4,April,Massachusetts,Boston,33.66,71.56,43.38,82.64,54.05,98.71,19.46,19.46
,May,Massachusetts,Boston,23.94,58.46,38.86,76.06,47.18,83.14,0.45,0.45
,October,Massachusetts,Cambridge,29.29,67.71,40.40,79.69,51.88,90.10,15.96,15.96
Minimum,,,,21.20,49.37,35.06,40.93,46.19,43.52,0.38,0.38
