Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Apartment,Q3,July,Michigan,Port Huron,0.72
Residential,Apartment,Q4,September,Oregon,Redmond,1.24
Residential,Apartment,Q1,August,Michigan,Port Huron,3.45
Residential,Apartment,Q3,November,Oregon,Redmond,5.88
Residential,Apartment,Q4,December,Michigan,Port Huron,7.69
Residential,Apartment,Q1,January,Oregon,Redmond,11.99
Residential,Apartment,Q3,February,Michigan,Port Huron,12.99
Residential,Apartment,Q4,March,Oregon,Redmond,11.4
Residential,Apartment,Q1,July,Michigan,Port Huron,15.23
Culture,House,Q3,July,Michigan,Port Huron,18.99
Culture,House,Q4,September,Oregon,Redmond,19.53
Culture,House,Q1,August,Michigan,Port Huron,23.03
Culture,House,Q3,November,Oregon,Redmond,26.12
Culture,House,Q4,December,Michigan,Port Huron,28.67
Culture,House,Q1,January,Oregon,Redmond,34.12
Culture,House,Q3,February,Michigan,Port Huron,35.79
Culture,House,Q4,March,Oregon,Redmond,36.3
Culture,House,Q1,July,Michigan,Port Huron,37.44
Residential,Museum,Q3,July,Michigan,Port Huron,38.04
Residential,Museum,Q4,September,Oregon,Redmond,39.1
Residential,Museum,Q1,August,Michigan,Port Huron,40.94
Residential,Museum,Q3,November,Oregon,Redmond,46.83
Residential,Museum,Q4,December,Michigan,Port Huron,47.56
Residential,Museum,Q1,January,Oregon,Redmond,48.45
Residential,Museum,Q3,February,Michigan,Port Huron,47.18
Residential,Museum,Q4,March,Oregon,Redmond,50.41
Residential,Museum,Q1,July,Michigan,Port Huron,52.46
Culture,Concert,Q3,July,Michigan,Port Huron,63.64
Culture,Concert,Q4,September,Oregon,Redmond,63.82
Culture,Concert,Q1,August,Michigan,Port Huron,64.26
Culture,Concert,Q3,November,Oregon,Redmond,66.14
Culture,Concert,Q4,December,Michigan,Port Huron,68.54
Culture,Concert,Q1,January,Oregon,Redmond,68.09
Culture,Concert,Q3,February,Michigan,Port Huron,71.12
Culture,Concert,Q4,March,Oregon,Redmond,73.25
Culture,Concert,Q1,July,Michigan,Port Huron,76.35
Residential,Theatre,Q3,July,Michigan,Port Huron,78.64
Residential,Theatre,Q4,September,Oregon,Redmond,79.99
Residential,Theatre,Q1,August,Michigan,Port Huron,78.92
Residential,Theatre,Q3,November,Oregon,Redmond,85.54
Residential,Theatre,Q4,December,Michigan,Port Huron,92.37
Residential,Theatre,Q1,January,Oregon,Redmond,93.1
Residential,Theatre,Q3,February,Michigan,Port Huron,94.33
Residential,Theatre,Q4,March,Oregon,Redmond,95.26
Residential,Theatre,Q1,July,Michigan,Port Huron,96.18
