Quarter,Month,Culture_Concert,Culture_House,Culture_School,Residential_Administration,Residential_Apartment,Residential_Theatre,Service_Hotel,Service_Museum,State,City
Q1,,9.54,51.20,82.57,94.89,59.28,22.70,73.41,32.52,,
,  August,9.54,51.20,82.57,94.89,59.28,22.70,73.41,32.52,Michigan,Port Huron
,  January,14.71,52.10,88.96,94.99,66.32,24.39,77.69,41.65,Michigan,Boulder City
,  July,18.08,59.78,88.38,99.57,71.80,28.44,79.79,48.95,Michigan,Flint
Q3,,3.61,50.42,81.67,93.20,60.56,21.40,71.15,31.43,,
,  February,16.28,58.52,89.81,98.11,70.61,21.51,78.43,44.24,Nevada,Port Huron
,  July,3.61,50.42,81.67,93.20,60.56,21.40,72.89,31.43,Nevada,Boulder City
,  March,11.39,51.38,83.29,95.77,65.01,22.68,71.15,40.18,Nevada,Flint
Minimum,,3.61,50.42,81.67,93.20,59.28,21.40,71.15,31.43,,
,  ,3.61,50.42,81.67,93.20,59.28,21.40,71.15,31.43,,
