Quarter,Month,Culture_Hotel,Culture_School,Residential_House,Residential_Museum,Service_Concert,Service_Hospital
Q1,,20.87,63.97,6.91,49.87,35.25,90.12
,  January,21.03,70.07,13.99,56.26,39.99,94.39
,  November,20.87,63.97,6.91,49.87,35.25,90.12
,  October,27.29,74.30,16.71,60.02,48.49,97.96
Q2,,16.63,63.60,5.55,50.78,31.86,82.49
,  December,16.63,63.60,5.55,50.78,31.86,82.49
,  June,21.86,69.13,6.86,56.57,38.83,90.73
,  March,27.97,74.79,15.43,59.32,45.00,94.79
Q4,,17.89,60.13,0.90,49.30,30.22,76.49
,  February,24.08,72.99,14.82,56.37,42.25,95.01
,  May,21.65,65.37,7.59,49.65,36.55,90.24
,  October,17.89,60.13,0.90,49.30,30.22,76.49
Minimum,,16.63,60.13,0.90,49.30,30.22,76.49
,  ,16.63,60.13,0.90,49.30,30.22,76.49
