Quarter,Month,Production_Hotel,Production_House,Production_Workshop,Residential_Apartment,Residential_Factory
Minimum,,37.19,87.52,5.78,63.77,23.46
,  ,37.19,87.52,5.78,63.77,23.46
Q2,,37.19,87.72,6.45,65.80,33.60
,  May,49.67,91.91,9.70,82.38,36.83
,  November,55.66,94.55,13.67,84.39,39.39
,  October,37.19,87.72,6.45,65.80,33.60
Q3,,42.48,87.60,7.26,74.78,34.90
,  April,42.48,87.60,7.26,74.78,34.90
,  August,53.43,88.22,10.80,83.70,37.49
,  October,55.20,96.13,15.80,86.51,39.44
Q4,,38.46,87.52,5.78,63.77,23.46
,  June,44.21,90.01,6.25,79.28,35.95
,  November,38.46,87.52,5.78,63.77,23.46
,  September,54.14,94.84,7.38,83.45,38.93
