Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,House,Q3,September,California,Malibu,1.39
Residential,House,Q1,July,Florida,Los-Angeles,2.03
Residential,House,Q2,March,California,Fort Lauderdale,2.57
Residential,House,Q3,January,Florida,Malibu,4.24
Residential,House,Q1,February,California,Los-Angeles,2.19
Residential,House,Q2,April,Florida,Fort Lauderdale,3.94
Residential,House,Q3,May,California,Malibu,7.15
Residential,House,Q1,June,Florida,Los-Angeles,1.25
Residential,House,Q2,September,California,Fort Lauderdale,7.32
Culture,Apartment,Q3,September,California,Malibu,10.91
Culture,Apartment,Q1,July,Florida,Los-Angeles,10.03
Culture,Apartment,Q2,March,California,Fort Lauderdale,12.72
Culture,Apartment,Q3,January,Florida,Malibu,13.45
Culture,Apartment,Q1,February,California,Los-Angeles,28.47
Culture,Apartment,Q2,April,Florida,Fort Lauderdale,28.04
Culture,Apartment,Q3,May,California,Malibu,32.49
Culture,Apartment,Q1,June,Florida,Los-Angeles,36.72
Culture,Apartment,Q2,September,California,Fort Lauderdale,37.39
Residential,Museum,Q3,September,California,Malibu,38.73
Residential,Museum,Q1,July,Florida,Los-Angeles,40.4
Residential,Museum,Q2,March,California,Fort Lauderdale,41.36
Residential,Museum,Q3,January,Florida,Malibu,42.89
Residential,Museum,Q1,February,California,Los-Angeles,43.05
Residential,Museum,Q2,April,Florida,Fort Lauderdale,48.72
Residential,Museum,Q3,May,California,Malibu,49.11
Residential,Museum,Q1,June,Florida,Los-Angeles,53.01
Residential,Museum,Q2,September,California,Fort Lauderdale,60.32
Culture,Concert,Q3,September,California,Malibu,62.91
Culture,Concert,Q1,July,Florida,Los-Angeles,0.23
Culture,Concert,Q2,March,California,Fort Lauderdale,64.45
Culture,Concert,Q3,January,Florida,Malibu,66.39
Culture,Concert,Q1,February,California,Los-Angeles,70.6
Culture,Concert,Q2,April,Florida,Fort Lauderdale,71.69
Culture,Concert,Q3,May,California,Malibu,72.52
Culture,Concert,Q1,June,Florida,Los-Angeles,75.03
Culture,Concert,Q2,September,California,Fort Lauderdale,76.97
Residential,Theatre,Q3,September,California,Malibu,77.03
Residential,Theatre,Q1,July,Florida,Los-Angeles,75.06
Residential,Theatre,Q2,March,California,Fort Lauderdale,76.01
Residential,Theatre,Q3,January,Florida,Malibu,87.87
Residential,Theatre,Q1,February,California,Los-Angeles,88.14
Residential,Theatre,Q2,April,Florida,Fort Lauderdale,89.72
Residential,Theatre,Q3,May,California,Malibu,87.7
Residential,Theatre,Q1,June,Florida,Los-Angeles,92.96
Residential,Theatre,Q2,September,California,Fort Lauderdale,99.83
