Polluted element,Type of pollution,Georgia_Hastings,Georgia_Portland,Georgia_Washington,Minnesota_Columbus,Minnesota_Redmond,Minnesota_Rochester,Oregon_Albany,Oregon_Salem,Average
Air,,73.05,-63.05,7.72,26.24,-27.77,92.77,56.39,-95.23,8.76
,  Groundwater,79.19,-46.00,12.09,37.87,-8.12,98.82,65.99,-85.54,19.29
,  Industrial,73.64,-61.40,11.22,27.92,-19.54,95.96,62.68,-99.48,11.37
,  Inorganic Fertilizers,72.12,-68.29,5.85,22.69,-37.42,92.70,52.89,-96.44,5.51
,  Light,67.26,-76.50,1.70,16.47,-46.02,83.60,44.00,-99.46,-1.12
Soil,,75.76,-61.17,10.63,27.26,-24.58,66.34,59.48,-92.38,7.67
,  Chemical,78.08,-57.37,12.86,27.53,-17.85,92.40,62.01,-92.51,13.14
,  Surface water,81.28,-46.37,15.38,40.32,-4.60,-0.30,66.45,-83.50,8.58
,  Thermal,70.01,-75.06,4.44,18.75,-39.57,79.86,48.49,-98.14,1.10
,  Urban Activities,73.68,-65.87,9.84,22.44,-36.29,93.42,60.95,-95.38,7.85
Water,,76.58,-57.95,10.99,29.22,-20.09,69.57,60.07,-92.81,9.45
,  Inferior Irrigation,74.62,-64.83,9.27,26.96,-22.47,92.81,61.08,-95.09,10.29
,  Light,80.35,-44.10,15.05,42.86,-3.89,-4.63,63.02,-81.53,8.39
,  Noise,71.61,-71.47,5.81,17.39,-38.15,91.45,51.98,-97.94,3.84
,  Oxygen-depletion,79.74,-51.40,13.82,29.68,-15.85,98.65,64.21,-96.66,15.27
