Polluted element,Type of pollution,Michigan_Port Huron_2018,Michigan_Rochester_2015,Minnesota_Flint_2017,Minnesota_Hastings_2017,Minnesota_Minneapolis_2016
Air,,48.62,-51.69,13.53,17.45,-39.31
,  Groundwater,79.08,-84.96,-26.77,12.59,56.52
,  Inferior Irrigation,71.23,-91.71,94.73,4.19,-81.75
,  Solid Waste,87.51,51.37,-1.62,29.16,-64.10
,  Thermal,-43.34,-81.47,-12.24,23.85,-67.92
Soil,,13.88,9.13,-24.89,10.71,-73.46
,  Chemical,-47.23,45.82,-24.08,12.84,-74.86
,  Noise,86.03,49.98,-7.22,23.80,-66.45
,  Solid Waste,-63.25,-97.59,-37.25,1.32,-78.89
,  Urban Activities,79.95,38.30,-31.00,4.89,-73.63
Water,,47.94,11.08,10.54,15.59,25.88
,  Industrial,70.34,-96.15,-36.50,1.21,-75.20
,  Light,-41.66,49.76,-4.92,27.74,60.91
,  Oxygen-depletion,79.73,43.37,97.24,10.52,56.99
,  Surface water,83.33,47.33,-13.67,22.87,60.82
Average,,36.81,-10.50,-0.27,14.58,-28.96
,  ,36.81,-10.50,-0.27,14.58,-28.96
