Polluted element,Type of pollution,California_Berkeley_2022,California_Chicago_2018,California_Columbia_2015,Illinois_Aberdeen_2017,Illinois_Champaign_2022,Illinois_Los-Angeles_2015,Maryland_Baltimore_2018,Maryland_Springfield_2017,Average
Air,,71.10,-48.39,-18.55,-38.52,-29.05,-70.23,-5.01,16.34,-15.29
,  Chemical,72.36,37.43,-22.16,-35.77,10.85,-70.13,84.26,85.22,20.26
,  Industrial,70.41,-88.06,-8.35,-40.91,-97.03,-62.92,-41.34,49.28,-27.36
,  Thermal,70.54,-94.55,-25.13,-38.88,-0.97,-77.65,-57.96,-85.49,-38.76
Soil,,-11.25,-3.46,-12.94,51.60,-23.31,20.19,39.29,-37.42,2.84
,  Groundwater,-56.01,38.92,-10.91,89.24,20.15,62.59,-44.15,-80.57,2.41
,  Noise,-56.72,-92.18,-24.13,92.18,5.51,-71.08,75.64,-83.66,-19.30
,  Thermal,78.99,42.88,-3.78,-26.63,-95.60,69.05,86.39,51.97,25.41
Water,,73.78,36.92,-17.51,7.71,16.54,17.92,83.18,-82.61,16.99
,  Inorganic Fertilizers,77.06,40.68,-6.66,-27.41,32.58,66.28,87.11,-78.91,23.84
,  Light,70.59,34.00,-25.58,-37.13,1.36,-73.77,76.57,-87.77,-5.22
,  Oxygen-depletion,73.68,36.09,-20.30,87.66,15.68,61.25,85.86,-81.15,32.35
Average,,44.54,-4.98,-16.33,6.93,-11.94,-10.71,39.15,-34.56,1.51
,  ,44.54,-4.98,-16.33,6.93,-11.94,-10.71,39.15,-34.56,1.51
