Polluted element,Type of pollution,Georgia_Albany,Georgia_Champaign,Georgia_Springfield,Illinois_Chicago,Illinois_Washington,Average
Air,,9.46,6.64,-8.86,67.67,1.17,15.22
,  Groundwater,20.73,-12.34,-70.00,74.55,39.20,10.43
,  Noise,1.09,90.70,50.94,56.79,25.29,44.96
,  Oxygen-depletion,10.58,-21.67,-71.13,71.70,36.07,5.11
,  Solid Waste,5.44,-30.13,54.76,67.65,-95.89,0.37
Soil,,11.72,7.92,-72.72,4.21,4.31,-8.91
,  Chemical,14.07,-17.81,-70.66,68.98,-91.11,-19.31
,  Light,2.95,-38.39,-78.44,-72.23,31.39,-30.94
,  Noise,22.45,-9.52,-67.91,-47.21,42.57,-11.92
,  Urban Activities,7.41,97.40,-73.87,67.32,34.38,26.53
Water,,14.08,-19.82,-39.45,-55.38,4.91,-19.13
,  Industrial,5.88,-31.37,50.64,-61.15,31.08,-0.98
,  Inorganic Fertilizers,9.46,-26.18,-72.34,-58.54,35.10,-22.50
,  Light,24.73,-7.66,-66.58,-43.78,-82.95,-35.25
,  Surface water,16.25,-14.07,-69.54,-58.07,36.41,-17.80
