Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2015,Dairy,Butter,896.84
Export,2015,Beverage,Milk,270.83
Export,2015,Dairy,Yoghurt,917.4
Export,2015,Beverage,Tea,279.11
Export,2015,Dairy,Soda,792.33
Export,2015,Beverage,Butter,153.83
Export,2016,Dairy,Butter,667.3
Export,2016,Beverage,Milk,678.69
Export,2016,Dairy,Yoghurt,167.11
Export,2016,Beverage,Tea,949.31
Export,2016,Dairy,Soda,327.49
Export,2016,Beverage,Butter,455.66
Export,2018,Dairy,Butter,338.46
Export,2018,Beverage,Milk,467.97
Export,2018,Dairy,Yoghurt,472.08
Export,2018,Beverage,Tea,730.87
Export,2018,Dairy,Soda,987.83
Export,2018,Beverage,Butter,858.83
Export,2015,Dairy,Butter,479.4
Export,2015,Beverage,Milk,864.22
Export,2015,Dairy,Yoghurt,483.3
Export,2015,Beverage,Tea,873.75
Export,2015,Dairy,Soda,234.22
Export,2015,Beverage,Butter,890.65
