Polluted element,Type of pollution,Minnesota_Boulder City_2022,Minnesota_Minneapolis_2015,Minnesota_Rochester_2022,Nevada_Hastings_2020,Nevada_Las Vegas_2016,Nevada_Reno_2020,Average
Air,Groundwater,95.44,-60.80,33.30,-76.21,-44.54,-5.95,-9.79
,Industrial,-37.84,64.37,18.81,46.21,79.28,-11.99,26.47
,Light,90.19,61.75,10.86,-86.19,76.56,-19.53,22.27
,Oxygen-depletion,-41.64,58.17,2.00,-91.50,73.11,-27.34,-4.53
Soil,Chemical,-40.98,-69.91,4.01,41.38,75.17,-22.59,-2.15
,Noise,-37.30,60.71,10.80,42.94,78.80,-13.15,23.80
,Oxygen-depletion,-29.26,-60.61,34.87,-72.47,85.81,-2.49,-7.36
,Urban Activities,95.11,-63.61,19.68,51.91,-49.81,-8.42,7.48
Water,Groundwater,85.18,56.02,1.22,-93.19,-59.13,-29.07,-6.49
,Inorganic Fertilizers,-32.44,67.48,19.77,-76.98,-46.04,-6.74,-12.49
,Solid Waste,89.06,63.02,10.59,-83.19,78.99,-11.87,24.43
,Thermal,86.00,60.54,9.31,42.56,-52.17,-21.63,20.77
Average,,26.79,19.76,14.60,-29.56,24.67,-15.06,6.87
