Polluted element,Type of pollution,Michigan_Detroit_2016,Michigan_Reno_2015,Nevada_Boulder City_2016,Nevada_Las Vegas_2018,Nevada_Port Huron_2015
Soil,,-18.54,-62.21,16.41,-42.43,-13.58
,  Industrial,26.73,-20.71,15.49,3.52,-14.28
,  Oxygen-depletion,-37.70,-77.10,19.29,-66.90,-9.96
,  Urban Activities,-44.66,-88.80,14.47,-63.92,-16.49
Water,,5.00,-55.36,20.20,-62.79,-11.16
,  Groundwater,93.12,-74.23,23.22,-63.87,-10.96
,  Inorganic Fertilizers,-40.89,-77.93,18.70,-65.09,-10.80
,  Solid Waste,-37.23,-13.91,18.69,-59.42,-11.71
Average,,-6.77,-58.78,18.31,-52.61,-12.37
,  ,-6.77,-58.78,18.31,-52.61,-12.37
