Quarter,Month,Residential_Apartment,Residential_House,Residential_School,Service_Administration,Service_Hospital,Service_Hotel,State,City
Q1,,66.14,96.26,28.20,6.40,44.15,79.11,,
,  June,77.78,96.26,37.77,18.70,59.89,86.47,Minnesota,Minneapolis
,  March,73.16,99.98,29.72,13.21,47.18,82.30,Minnesota,Rochester
,  May,66.14,96.92,28.20,6.40,44.15,79.11,Minnesota,Minneapolis
Q2,,63.87,78.94,22.37,0.43,37.08,78.48,,
,  February,75.20,99.93,32.80,12.31,46.05,84.11,Minnesota,Minneapolis
,  June,63.87,78.94,22.37,0.43,37.08,78.49,Minnesota,Minneapolis
,  September,67.52,97.69,29.71,7.81,44.11,78.48,Minnesota,Rochester
Q3,,65.95,92.99,26.97,5.24,40.79,79.61,,
,  April,65.95,92.99,26.97,5.24,40.79,79.61,Minnesota,Rochester
,  January,76.03,97.28,36.58,17.95,55.07,82.71,Minnesota,Rochester
,  July,69.01,97.88,30.86,12.96,46.72,82.41,Minnesota,Minneapolis
Minimum,,63.87,78.94,22.37,0.43,37.08,78.48,,
,  ,63.87,78.94,22.37,0.43,37.08,78.48,,
