Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Wind,Calm,2.74
2019,Humidity,Breeze,3.03
2019,Temperature,Low,4.13
2019,Wind,High,5.49
2019,Humidity,0-10,4.31
2019,Temperature,11-20,7.3
2019,Wind,31-40,6.49
2019,Humidity,Calm,9.92
2019,Temperature,Breeze,10.71
2015,Wind,Calm,11.55
2015,Humidity,Breeze,11.03
2015,Temperature,Low,12.41
2015,Wind,High,11.11
2015,Humidity,0-10,8.89
2015,Temperature,11-20,16.46
2015,Wind,31-40,17.77
2015,Humidity,Calm,20.73
2015,Temperature,Breeze,20.42
2016,Wind,Calm,21.13
2016,Humidity,Breeze,23.23
2016,Temperature,Low,24.96
2016,Wind,High,24.86
2016,Humidity,0-10,25.22
2016,Temperature,11-20,26.45
2016,Wind,31-40,27.23
2016,Humidity,Calm,26.97
2016,Temperature,Breeze,4.39
